R,V
245.195675,0.112282
246.403023,0.111645
250.240367,0.107423
250.629859,0.105646
252.945834,0.100536
253.800567,0.098468
257.453049,0.090106
259.141784,0.09158
261.634814,0.083533
262.991561,0.081061
264.648001,0.073757
265.45479,0.072057
269.114668,0.064198
269.625195,0.062251
270.575252,0.052681
270.834424,0.051705
275.293165,0.042872
277.323484,0.040889
278.466285,0.03225
280.326268,0.03121
282.027282,0.023623
284.094548,0.022828
287.617401,0.015873
287.936139,0.015458
289.928241,0.009938
291.108466,0.009355
293.750897,0.005788
294.724609,0.005102
298.769078,0.002425
301.09237,0.002896
301.701254,0.001169
302.11152,0.000932
304.842409,0.000587
305.906414,0.000615
308.369804,0.001167
310.015325,0.0015
312.271972,0.002937
313.739324,0.003636
317.590168,0.006146
317.677315,0.007185
320.152262,0.011117
320.563005,0.012525
323.94975,0.018063
326.570567,0.020035
330.075366,0.027032
330.130359,0.02947
331.266542,0.037995
335.368806,0.049811
336.265207,0.040427
338.589254,0.061579
338.907393,0.052285
342.866819,0.075459
343.108221,0.072863
343.80167,0.064181
346.894655,0.083897
346.962158,0.085846
350.124511,0.094245
350.817812,0.09529
352.701568,0.103271
356.174417,0.110859
356.839901,0.103949
359.505718,0.111188
360.54901,0.116953
361.689262,0.117176
364.047855,0.12194
367.21781,0.121761
367.512978,0.126088
368.605572,0.125443
371.319008,0.128683
372.873819,0.128019
375.205043,0.130462
376.471651,0.128789
380.283732,0.130795
381.394391,0.128869
382.875398,0.130326
384.275977,0.128644
386.320585,0.128762
387.978811,0.127029
390.796264,0.126315
391.311434,0.124053
394.334315,0.123009
395.345701,0.120158
398.083103,0.118786
398.763188,0.116004
401.631393,0.113684
402.288601,0.110617
405.348865,0.10713
405.703592,0.103913
409.190765,0.099883
410.25786,0.096809
413.530671,0.091956
414.275817,0.088608
416.894984,0.082936
417.673857,0.079454
421.721963,0.073015
422.230722,0.069592
424.734101,0.062374
425.517889,0.059069
428.925488,0.048848
429.137995,0.051837
432.431852,0.041168
432.713252,0.038326
435.724053,0.030916
435.878791,0.02861
439.185806,0.021874
440.172508,0.020174
443.321251,0.014533
443.525014,0.013264
446.401258,0.008965
446.877867,0.007997
449.73378,0.004911
450.946644,0.004302
453.796167,0.002291
453.974401,0.002005
458.174183,0.0008
458.458916,0.000886
461.342613,0.000654
461.546027,0.000637
464.938521,0.001549
465.246469,0.001709
468.656546,0.003652
470.495963,0.004217
472.302267,0.007134
473.908669,0.008195
476.016072,0.012352
477.483223,0.014023
479.594469,0.019532
481.962512,0.021926
484.363267,0.029127
484.428412,0.032042
487.272411,0.040338
489.458414,0.043783
491.485645,0.052196
492.951811,0.055783
495.68008,0.064353
498.640038,0.075835
498.795166,0.067775
499.634336,0.07915
503.266838,0.087354
505.227388,0.089457
506.317954,0.096927
510.022035,0.104402
513.010659,0.111233
513.587491,0.112803
513.624563,0.098511
515.431176,0.106473
517.075228,0.118196
518.528799,0.118716
520.253628,0.122793
521.449827,0.122878
524.686991,0.126319
524.984629,0.125918
528.120853,0.128853
529.226438,0.128318
531.630932,0.130645
532.58769,0.129126
535.083061,0.130865
536.786188,0.128908
538.50193,0.130004
540.220082,0.127719
542.708047,0.128325
544.392238,0.12556
546.714087,0.126091
548.440876,0.122767
550.50707,0.122513
551.596448,0.118715
554.176924,0.11819
555.647843,0.114573
558.147541,0.112792
559.325792,0.108758
561.323028,0.106608
563.885757,0.102225
565.227527,0.099698
567.065982,0.094539
569.443286,0.091432
570.981016,0.086298
573.260546,0.082232
574.724199,0.076872
576.566378,0.073118
578.050005,0.066748
580.527507,0.062534
582.866519,0.056523
583.747547,0.051218
586.414909,0.045866
587.832644,0.040831
588.715843,0.035696
592.020362,0.030514
592.845986,0.026118
595.238856,0.02145
596.730428,0.017974
599.065788,0.013895
600.305249,0.011656
603.295931,0.008307
604.530402,0.006874
606.575075,0.004447
608.648803,0.003508
609.002633,0.001996
611.373184,0.00149
613.611974,0.000759
615.118753,0.000634
617.08909,0.000735
619.932931,0.00086
620.341408,0.001891
622.518549,0.002281
625.037716,0.004327
627.789556,0.005054
628.39149,0.008241
629.305556,0.009085
633.419435,0.014878
633.437461,0.014022
636.65055,0.02201
636.796545,0.023057
640.323782,0.031711
640.61175,0.033568
643.304985,0.042653
645.980041,0.0454
647.030007,0.054318
647.801359,0.057638
651.097457,0.066427
653.434016,0.069455
655.152939,0.077927
656.595114,0.081025
659.284928,0.091314
659.320035,0.088061
662.968569,0.097494
664.891109,0.100113
664.959496,0.105994
667.562134,0.107549
670.463033,0.113148
671.690991,0.113768
674.234715,0.118269
676.17653,0.119275
678.465375,0.123028
680.054611,0.123461
680.695966,0.127087
683.912352,0.12598
685.639132,0.129132
686.173925,0.127587
688.449081,0.129343
688.555942,0.129052
692.305736,0.129756
693.49861,0.128657
696.305201,0.129165
696.323956,0.127126
699.757071,0.127322
701.868384,0.124569
702.08058,0.124578
704.837025,0.12185
705.695136,0.120528
708.378121,0.117506
709.91906,0.116144
712.377393,0.112286
714.331836,0.110637
714.804175,0.106593
718.279573,0.103817
719.219153,0.100002
721.388464,0.096755
724.46752,0.092386
725.545248,0.088787
726.330394,0.083926
728.893949,0.079956
730.504917,0.074356
733.432903,0.069918
733.673023,0.064617
736.959938,0.059887
739.105886,0.053982
740.163047,0.04954
742.454731,0.043376
743.519018,0.039064
746.179425,0.033362
747.26088,0.029033
749.226806,0.024153
751.351521,0.020234
753.740062,0.016154
755.154313,0.013092
757.97883,0.010029
758.817939,0.00781
760.815141,0.00573
762.825297,0.004103
765.298415,0.00289
765.983413,0.001758
768.267736,0.001156
771.086609,0.00069
773.221464,0.000588
774.191125,0.000818
776.149752,0.001186
778.375687,0.002233
778.786566,0.00292
782.572971,0.005003
784.18248,0.006122
786.75088,0.009322
787.374867,0.011044
790.236938,0.015564
790.701974,0.017581
793.024556,0.026022
793.081274,0.024045
797.595371,0.034564
797.700429,0.036684
801.539987,0.046245
803.06566,0.048754
803.170255,0.058277
805.236645,0.060342
809.168935,0.07002
809.726907,0.071537
811.99585,0.082607
812.058089,0.081251
815.358342,0.091677
815.502017,0.092758
819.371079,0.100353
822.156824,0.101844
822.604645,0.107823
823.44674,0.109563
827.785378,0.116237
827.849338,0.11417
831.427404,0.120216
832.704078,0.121184
834.570097,0.12436
834.804741,0.124799
838.033295,0.126726
840.185704,0.127487
841.209216,0.128716
843.565295,0.129025
845.059522,0.130287
847.428557,0.129453
849.152137,0.130284
849.74316,0.128404
853.032933,0.128722
854.921122,0.126533
855.95939,0.125977
858.184167,0.12432
860.070377,0.123623
862.562377,0.120831
864.817295,0.119761
865.96958,0.116272
869.250415,0.114486
869.458948,0.110998
872.693427,0.108357
872.95353,0.105048
874.337095,0.102274
878.258008,0.094801
878.293198,0.097928
880.724979,0.090266
883.854658,0.086214
883.971327,0.081699
886.205539,0.076297
888.679102,0.072339
889.546898,0.067075
891.94708,0.062044
894.098919,0.056976
895.343741,0.051515
897.613407,0.045749
900.076422,0.041366
901.912856,0.035337
903.032006,0.03127
905.471978,0.026207
906.375292,0.02213
909.655002,0.018183
909.934037,0.014726
912.198791,0.011404
914.326352,0.009131
916.603494,0.00667
917.76613,0.005067
920.241876,0.003453
921.336246,0.002347
923.289749,0.001468
924.46883,0.000921
927.733052,0.000628
928.974092,0.000641
931.159661,0.001012
933.331273,0.001569
934.510606,0.002627
936.789387,0.003794
938.934747,0.0056
940.828741,0.007352
942.578225,0.01031
944.577221,0.01267
946.899671,0.017235
948.051364,0.020205
950.449265,0.026121
952.379258,0.029894
953.661582,0.037683
954.708743,0.040693
958.160234,0.04961
959.079238,0.052657
962.488596,0.062088
962.500867,0.06455
965.854546,0.074417
967.030841,0.075901
970.282118,0.086177
970.292941,0.08551
972.590572,0.094953
973.949753,0.095903
978.166804,0.103946
978.336894,0.104275
981.569826,0.111401
981.603173,0.111413
984.256136,0.117764
985.436314,0.117003
988.386936,0.122253
989.768328,0.121822
992.420898,0.126136
993.027435,0.125349
996.565711,0.129096
997.329728,0.127521
1000.447583,0.128694
1001.240572,0.130573
1005.438813,0.130803
1005.731927,0.129431
1007.83946,0.128352
1008.118158,0.130067
1011.857898,0.128704
1012.11269,0.126777
1014.699138,0.126292
1016.608062,0.123342
1018.686002,0.121998
1019.128065,0.119451
1022.522035,0.11773
1024.525238,0.114594
1025.555507,0.11307
1028.607008,0.109528
1028.690298,0.109611
1029.061565,0.1071
1031.53251,0.102608
1031.798142,0.10315
1033.52843,0.099581
1035.283733,0.095865
1035.532643,0.095372
1037.065748,0.091685
1038.130605,0.087522
1040.168695,0.087425
1040.6477,0.083094
1042.825173,0.078388
1042.917277,0.078483
1044.663082,0.07386
1046.387545,0.069014
1047.41195,0.069163
1048.285815,0.063684
1049.573905,0.059139
1050.11204,0.059076
1052.55973,0.053015
1053.922845,0.049047
1054.336302,0.048507
1056.768885,0.042592
1057.050117,0.038162
1057.13209,0.038619
1059.399367,0.032484
1060.84437,0.029067
1060.984972,0.028593
1062.919318,0.023304
1064.148312,0.020646
