R,V
248.505413,0.097529
251.110808,0.093034
252.442915,0.088685
253.377606,0.094357
254.445046,0.086475
255.521527,0.081658
258.834342,0.080466
261.588649,0.074167
262.475385,0.071778
264.701786,0.063655
267.838233,0.056754
267.88334,0.055014
271.655353,0.045616
271.914349,0.047357
275.096564,0.037899
276.824653,0.035939
278.316007,0.026606
278.402712,0.028813
283.559646,0.02021
287.51698,0.012502
287.884797,0.013404
288.294181,0.008195
288.793162,0.007471
294.385851,0.004653
294.602521,0.003987
297.780394,0.002267
298.705303,0.001824
299.75488,0.000842
303.411963,0.000578
307.730103,0.000113
308.781565,0.000243
309.005886,0.000168
309.66422,0.000398
311.00676,0.001137
313.985018,0.00152
315.134109,0.002953
317.111127,0.003601
319.781912,0.00594
321.18593,0.006915
323.551651,0.010505
326.924832,0.017499
331.020938,0.026173
333.264877,0.029056
334.288147,0.035992
337.096677,0.038853
337.429831,0.045948
340.365918,0.04932
342.092634,0.057185
343.365277,0.059916
344.545895,0.067622
347.48405,0.069788
347.868953,0.076794
350.357478,0.078732
351.838901,0.085057
355.031304,0.086616
355.930267,0.092497
357.634599,0.093777
359.682545,0.098384
360.75367,0.099727
363.169151,0.103394
365.060111,0.105139
367.263728,0.10739
368.526518,0.107704
369.542876,0.110451
371.857601,0.110026
375.029154,0.112207
377.018308,0.111879
377.429233,0.112914
381.58261,0.112419
381.781223,0.112917
383.380217,0.111838
386.851557,0.112344
387.67681,0.110265
389.512859,0.110531
393.079702,0.108471
396.389846,0.104658
396.400185,0.107418
398.273708,0.10405
399.703386,0.100711
401.079582,0.099988
402.206202,0.09577
404.916737,0.094666
406.33854,0.090038
409.257473,0.088169
411.344835,0.083336
412.345969,0.081403
414.215906,0.07639
416.939278,0.073742
417.741192,0.068298
420.319803,0.065094
422.151872,0.0595
425.137577,0.055697
426.010107,0.050459
428.048305,0.04621
429.508855,0.041306
432.242591,0.036508
433.774405,0.031755
436.177408,0.02711
436.935021,0.02269
439.825287,0.01878
440.177473,0.01538
442.452055,0.012184
443.592362,0.009735
445.832877,0.007281
447.27708,0.005634
449.169453,0.003987
451.295951,0.002837
453.065028,0.001866
455.458282,0.001165
456.904858,0.000601
459.32152,0.000316
460.366428,0.000118
461.499388,0.000135
464.026025,0.000427
466.069515,0.000744
468.238494,0.001495
469.842512,0.002308
471.35744,0.003481
473.735471,0.00497
474.867137,0.006758
477.206359,0.009151
478.492352,0.011742
480.496136,0.015573
482.852474,0.01867
485.026837,0.023895
486.287834,0.027718
489.150997,0.033951
490.022608,0.038264
492.852506,0.044945
493.961902,0.049649
496.711245,0.055863
497.634852,0.060118
500.014037,0.066248
502.138414,0.070129
504.136749,0.075617
505.058122,0.079706
508.200397,0.084048
508.824548,0.087522
511.569265,0.09138
512.673028,0.093973
514.465353,0.097276
515.680321,0.099686
519.420247,0.102129
519.864876,0.104591
522.612679,0.106218
523.2212,0.108188
525.741512,0.10917
527.211724,0.110866
530.275602,0.111271
530.974923,0.112588
533.450857,0.112039
534.525636,0.113329
537.644307,0.11215
538.426358,0.113097
540.574024,0.111362
541.779311,0.111987
545.186376,0.109413
545.865241,0.109984
