R	V
1055.729033	0.087766
1052.380303	0.089881
1048.955173	0.091570
1044.508190	0.092658
1041.134467	0.092982
1037.731973	0.092757
1034.336717	0.091916
1029.901693	0.090140
1025.406043	0.087776
1024.232013	0.084720
1018.599067	0.080709
1014.170947	0.075868
1010.758720	0.070393
1007.371640	0.064292
1004.013310	0.057438
999.502546	0.050355
995.056389	0.043206
991.631727	0.035907
987.135531	0.029456
983.793558	0.024077
981.511334	0.019980
977.027077	0.016528
972.558385	0.014033
970.273111	0.012664
965.803523	0.012143
962.420172	0.012398
957.984613	0.013604
953.530087	0.015690
950.175665	0.018601
947.079328	0.022549
943.392049	0.027420
938.862112	0.033090
935.548950	0.039021
931.043744	0.045439
927.721125	0.051829
924.268205	0.058122
920.920016	0.063643
916.898470	0.069216
913.105508	0.074247
909.676124	0.078871
906.294826	0.082604
901.829713	0.085911
898.482352	0.088583
894.072940	0.090698
889.556164	0.092193
886.197268	0.092972
883.836142	0.093133
878.249481	0.092721
876.102093	0.091500
872.646492	0.089554
869.247656	0.086907
864.791843	0.083550
861.461189	0.079482
856.807999	0.074711
854.673041	0.068805
849.059782	0.062577
845.742194	0.055893
843.450999	0.048823
838.155115	0.041541
834.591252	0.034664
832.219912	0.028445
827.724426	0.023104
822.270231	0.018669
819.880579	0.015498
815.353997	0.013307
811.977652	0.012197
808.674141	0.012016
803.516655	0.012568
802.999974	0.013965
797.409441	0.016319
792.921518	0.019632
790.667616	0.023560
787.276527	0.028423
782.845255	0.034056
778.315888	0.040110
776.063554	0.046272
771.595179	0.052582
766.158771	0.058758
764.888796	0.064542
759.659178	0.069837
757.033455	0.074774
752.802560	0.079238
749.129395	0.082991
745.802671	0.086183
740.619513	0.088712
737.878601	0.090633
733.434354	0.091917
729.261640	0.092599
725.561632	0.092711
722.243090	0.092035
717.892406	0.090529
714.320892	0.088463
710.953181	0.085679
707.565702	0.081943
704.196038	0.077400
701.905323	0.072211
696.336207	0.066519
692.960210	0.060174
688.505536	0.053361
686.226551	0.046384
681.107995	0.039503
679.018052	0.033020
675.173587	0.027075
670.639236	0.021972
666.632990	0.017986
664.905002	0.015042
659.322281	0.013090
655.337921	0.012086
651.820053	0.012099
646.946524	0.012938
643.806635	0.014692
639.428933	0.017545
635.945710	0.021157
633.558201	0.025542
628.022271	0.030482
625.865418	0.036046
620.296679	0.042351
617.899041	0.048629
614.689783	0.054830
610.105635	0.060800
606.722362	0.066565
603.294337	0.071798
599.901450	0.076505
595.294189	0.080833
591.948380	0.084429
587.798203	0.087414
584.385540	0.090005
581.267962	0.091946
577.327917	0.093150
573.226482	0.093663
570.285302	0.093481
566.333052	0.092804
561.827538	0.091151
559.013889	0.088665
555.162835	0.085442
551.114046	0.081649
548.026923	0.076751
543.382863	0.071522
539.758338	0.065459
536.029787	0.058817
532.431702	0.051840
528.102021	0.044977
524.591926	0.037975
521.314262	0.031428
517.309057	0.025748
513.593390	0.021102
510.342160	0.017415
506.046246	0.014749
502.965015	0.013004
499.609507	0.012187
495.832230	0.012234
491.890311	0.013218
488.655849	0.015013
487.711253	0.017764
481.024394	0.021558
477.242422	0.026202
474.157784	0.031573
468.501168	0.037467
467.088226	0.044073
461.529440	0.050573
458.099181	0.056549
453.921528	0.062090
450.981277	0.067479
446.558299	0.072683
443.617437	0.077288
440.258630	0.081120
436.548902	0.084745
432.758651	0.087729
430.381950	0.090052
427.104092	0.091774
422.311177	0.092851
418.235169	0.093278
414.228500	0.093122
410.799675	0.092333
406.145495	0.090626
402.801633	0.087989
399.462388	0.084861
395.916471	0.080847
391.859936	0.076013
387.299409	0.070253
385.437392	0.063996
379.795005	0.057487
376.301796	0.050255
372.374900	0.043061
367.601043	0.036268
364.819967	0.030114
361.429790	0.024393
357.497562	0.019761
353.791040	0.016326
350.054526	0.013939
347.026838	0.012485
342.301620	0.011970
341.126200	0.012271
336.765534	0.013422
333.255970	0.015433
328.045784	0.018447
323.583894	0.022323
320.235543	0.027115
316.955562	0.032800
312.276881	0.038825
309.135763	0.045161
305.280866	0.051414
301.410561	0.057546
298.778378	0.063580
294.591079	0.069065
290.397185	0.074437
287.532725	0.078926
282.032621	0.082796
278.755944	0.086075
276.305654	0.088645
270.848130	0.090580
268.625427	0.092072
264.383590	0.092973
262.201183	0.093121
258.863072	0.092684
254.022282	0.091614
249.858002	0.089773
246.198362	0.087190
242.521524	0.085297
248.461534	0.088913
251.297212	0.091070
254.211919	0.092670
258.992827	0.093573
264.713058	0.093714
266.470914	0.093217
270.735014	0.091876
274.098848	0.089931
277.698388	0.087676
281.968835	0.084679
285.361935	0.081094
287.539323	0.076903
292.124674	0.072274
295.540882	0.067178
298.772148	0.061560
302.872936	0.055578
305.898704	0.049423
310.034015	0.042922
313.459900	0.036900
317.216184	0.031073
321.372076	0.025709
325.776764	0.021062
330.078346	0.017536
334.250963	0.014832
336.698394	0.013038
339.635579	0.012114
343.142327	0.012062
347.111260	0.012856
350.469052	0.014583
354.759015	0.017257
358.598725	0.021018
362.201377	0.025928
365.378303	0.031699
368.975728	0.038046
373.541997	0.045085
376.411221	0.052429
381.364134	0.059354
385.247936	0.065733
388.927345	0.071817
392.390047	0.077332
396.269299	0.082036
399.086510	0.085808
403.754166	0.088919
406.330432	0.091583
410.601779	0.093288
415.014688	0.093868
418.349877	0.094149
423.427374	0.093692
426.008182	0.092540
430.026507	0.090552
433.939866	0.087927
437.069520	0.084712
440.586126	0.081053
443.920581	0.076865
447.340085	0.072112
451.567686	0.066631
454.918352	0.060960
459.439363	0.054857
462.079443	0.048603
466.246556	0.042227
469.960084	0.036273
475.025891	0.030625
477.526418	0.025388
481.422725	0.021010
485.123053	0.017468
489.220602	0.014851
492.110000	0.013118
496.119796	0.012338
499.508186	0.012371
503.483139	0.013306
506.605901	0.015069
511.146362	0.017904
513.604621	0.021794
518.312874	0.026696
521.340953	0.032484
524.881305	0.039184
529.080638	0.046171
532.487260	0.053159
536.638992	0.059926
540.311434	0.066593
543.650200	0.072795
548.130586	0.078052
551.509031	0.082412
554.999753	0.086426
559.523998	0.089610
562.346600	0.091640
566.101255	0.093122
569.810568	0.094173
574.034693	0.094386
577.372429	0.093715
580.843134	0.092395
584.718142	0.090697
588.685611	0.088034
592.045233	0.084843
595.522864	0.080947
599.881816	0.076650
604.234893	0.071581
607.991116	0.066071
611.180551	0.060108
616.592410	0.053909
619.949287	0.047451
622.274592	0.041338
627.827308	0.035117
630.125455	0.029351
633.460290	0.024203
636.842532	0.020012
641.463434	0.016620
646.094634	0.014252
647.395499	0.012763
652.915034	0.012098
656.050638	0.012371
659.333889	0.013472
664.910335	0.015557
667.636612	0.018602
671.141437	0.022767
675.604766	0.028106
679.735612	0.034356
682.521938	0.040679
686.236504	0.047547
688.648156	0.054743
693.361916	0.061607
696.332474	0.067735
701.908863	0.073508
704.259685	0.078990
707.652230	0.083399
711.008424	0.086546
714.278985	0.089414
718.157588	0.091631
724.440659	0.093115
725.527258	0.093451
729.399700	0.093477
733.506822	0.092938
